0611.HK	中國核能科技
0613.HK	梧桐國際
0616.HK	高山企業
0617.HK	百利保控股
0618.HK	北大資源
0619.HK	南華金融
0620.HK	大唐西市
0621.HK	壇金礦業
0622.HK	威華達控股
0623.HK	中視金橋
0626.HK	大眾金融控股
0627.HK	福晟國際
0628.HK	國美金融科技
0629.HK	悅達國際控股
0630.HK	雋泰控股
0631.HK	三一國際
0632.HK	中港石油
0633.HK	中國全通
0635.HK	彩星集團
0636.HK	嘉里物流
0637.HK	利記
0638.HK	建溢集團
0639.HK	首鋼資源
0640.HK	星謙發展
0641.HK	中國恒天立信國際
0643.HK	恆富控股
0645.HK	安域亞洲
0646.HK	中國環保科技
0648.HK	中國華仁醫療
0650.HK	ＩＤＧ能源投資
0651.HK	中海重工
0653.HK	卓悅控股
0655.HK	香港華人有限公司
0656.HK	復星國際
0657.HK	環科國際
0658.HK	中國高速傳動
0659.HK	新創建集團
0660.HK	瑋俊生物科技
0661.HK	中國大冶有色金屬
0662.HK	亞洲金融
0663.HK	金山能源
0665.HK	海通國際
0667.HK	中國東方教育
0668.HK	東銀國際控股
0669.HK	創科實業
0670.HK	中國東方航空股份
0672.HK	眾安集團
0673.HK	中國衛生集團
0674.HK	中國唐商
0675.HK	堅寶國際
0676.HK	創信國際
0677.HK	金源米業
0678.HK	雲頂香港
0679.HK	亞洲聯網科技
0680.HK	南海控股
0681.HK	中民控股
0682.HK	超大現代
0683.HK	嘉里建設
0684.HK	亞倫國際
0685.HK	世界華文媒體
0686.HK	熊貓綠能
0687.HK	泰昇集團
0688.HK	中國海外發展
0689.HK	長盈集團（控股）
0690.HK	聯康生物科技集團
0691.HK	山水水泥
0693.HK	陳唱國際
0694.HK	北京首都機場股份
0695.HK	東吳水泥
0696.HK	中國民航信息網絡
0697.HK	首程控股
0698.HK	通達集團
0699.HK	神州租車
0700.HK	騰訊控股
0701.HK	CNT GROUP
0702.HK	中國油氣控股
0703.HK	FUTURE BRIGHT
0704.HK	和嘉控股
0706.HK	美麗中國控股
0707.HK	亞洲電視控股
0708.HK	恒大健康
0709.HK	佐丹奴國際
0710.HK	京東方精電
0711.HK	亞洲聯合基建控股
